from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
55806,55806,PLK_IC_2026_625959855_LEG0,PLK_IC_2026_625959855_LEG1,1
55806,55806,PLK_IC_2026_225765910_LEG0,PLK_IC_2026_225765910_LEG1,1
55806,55806,PLK_IC_2026_642649493_LEG0,PLK_IC_2026_642649493_LEG1,1
55806,55806,PLK_IC_2026_634621633_LEG0,PLK_IC_2026_634621633_LEG1,1
55806,55806,PLK_IC_2026_720213078_LEG0,PLK_IC_2026_720213078_LEG1,1
55806,55806,PLK_IC_2026_740587925_LEG0,PLK_IC_2026_740587925_LEG1,1
55806,55806,PLK_IC_2026_477283301_LEG0,PLK_IC_2026_477283301_LEG1,1
55806,55806,PLK_IC_2026_983936413_LEG0,PLK_IC_2026_983936413_LEG1,1
55806,55806,PLK_IC_2026_914355931_LEG0,PLK_IC_2026_914355931_LEG1,1
55806,55806,PLK_IC_2026_503229268_LEG0,PLK_IC_2026_503229268_LEG1,1
55806,55806,PLK_IC_2026_352508738_LEG0,PLK_IC_2026_352508738_LEG1,1
55806,55806,PLK_IC_2026_399397851_LEG0,PLK_IC_2026_399397851_LEG1,1
55806,55806,PLK_IC_2026_783546634_LEG0,PLK_IC_2026_783546634_LEG1,1
55806,55806,PLK_PR_2026_240917058_LEG0,PLK_PR_2026_240917058_LEG1,1
55806,55806,PLK_PR_2026_568060074_LEG0,PLK_PR_2026_568060074_LEG1,1
55806,55806,PLK_KD_2026_977403216_LEG0,PLK_KD_2026_977403216_LEG1,1
55806,55806,PLK_KD_2026_836410073_LEG0,PLK_KD_2026_836410073_LEG1,1
55806,55806,PLK_KD_2026_952612342_LEG0,PLK_KD_2026_952612342_LEG1,1
55806,55806,PLK_KD_2026_260279128_LEG0,PLK_KD_2026_260279128_LEG1,1
55806,55806,PLK_KD_2026_957273509_LEG0,PLK_KD_2026_957273509_LEG1,1
55806,55806,PLK_KD_2026_738901776_LEG0,PLK_KD_2026_738901776_LEG1,1
55806,55806,PLK_KD_2026_358593664_LEG0,PLK_KD_2026_358593664_LEG1,1
55806,55806,PLK_KD_2026_973026885_LEG0,PLK_KD_2026_973026885_LEG1,1
55806,55806,PLK_KD_2026_232496504_LEG0,PLK_KD_2026_232496504_LEG1,1
55806,55806,PLK_KD_2026_449133012_LEG0,PLK_KD_2026_449133012_LEG1,1
55806,55806,PLK_KD_2026_129974700_LEG0,PLK_KD_2026_129974700_LEG1,1
55806,55806,PLK_KD_2026_281039687_LEG0,PLK_KD_2026_281039687_LEG1,1
55806,55806,PLK_KD_2026_170943509_LEG0,PLK_KD_2026_170943509_LEG1,1
55806,55806,PLK_KD_2026_972400155_LEG0,PLK_KD_2026_972400155_LEG1,1
55806,55806,PLK_KD_2026_399474957_LEG0,PLK_KD_2026_399474957_LEG1,1
55806,55806,PLK_KD_2026_664837268_LEG0,PLK_KD_2026_664837268_LEG1,1
55806,55806,PLK_KD_2026_332939303_LEG0,PLK_KD_2026_332939303_LEG1,1
55806,55806,PLK_KD_2026_734986925_LEG0,PLK_KD_2026_734986925_LEG1,1
55806,55806,PLK_KD_2026_243168412_LEG0,PLK_KD_2026_243168412_LEG1,1
55806,55806,PLK_KD_2026_294691325_LEG0,PLK_KD_2026_294691325_LEG1,1
55806,55806,PLK_KD_2026_918302205_LEG0,PLK_KD_2026_918302205_LEG1,1
55806,55806,PLK_KD_2026_771373106_LEG0,PLK_KD_2026_771373106_LEG1,1
55806,55806,PLK_KD_2026_724226295_LEG0,PLK_KD_2026_724226295_LEG1,1
55806,55806,PLK_KD_2026_574460936_LEG0,PLK_KD_2026_574460936_LEG1,1
55806,55806,PLK_KD_2026_469876454_LEG0,PLK_KD_2026_469876454_LEG1,1
55806,55806,PLK_KD_2026_336811346_LEG0,PLK_KD_2026_336811346_LEG1,1
55806,55806,PLK_KD_2026_302617748_LEG0,PLK_KD_2026_302617748_LEG1,1
55806,55806,PLK_KD_2026_678408107_LEG0,PLK_KD_2026_678408107_LEG1,1
55806,55806,PLK_KD_2026_842107501_LEG0,PLK_KD_2026_842107501_LEG1,1
55806,55806,PLK_KD_2026_683212208_LEG0,PLK_KD_2026_683212208_LEG1,1
55806,55806,PLK_KD_2026_270297460_LEG0,PLK_KD_2026_270297460_LEG1,1
55806,55806,PLK_KD_2026_400841988_LEG0,PLK_KD_2026_400841988_LEG1,1
55806,55806,PLK_KD_2026_212329324_LEG0,PLK_KD_2026_212329324_LEG1,1
55806,55806,PLK_KD_2026_362403509_LEG0,PLK_KD_2026_362403509_LEG1,1
55806,55806,PLK_KD_2026_561845381_LEG0,PLK_KD_2026_561845381_LEG1,1
55806,55806,PLK_KD_2026_773965301_LEG0,PLK_KD_2026_773965301_LEG1,1
55806,55806,PLK_KD_2026_221401638_LEG0,PLK_KD_2026_221401638_LEG1,1
55806,55806,PLK_PR_2026_249334553_LEG0,PLK_PR_2026_249334553_LEG1,1
55806,55806,PLK_PR_2026_380663605_LEG0,PLK_PR_2026_380663605_LEG1,1
55806,55806,PLK_PR_2026_177717440_LEG0,PLK_PR_2026_177717440_LEG1,1
55806,55806,PLK_PR_2026_279460659_LEG0,PLK_PR_2026_279460659_LEG1,1
57497,57497,PLK_IC_2026_413065324_LEG0,PLK_IC_2026_413065324_LEG1,1
57497,57497,PLK_IC_2026_100057486_LEG0,PLK_IC_2026_100057486_LEG1,1
57497,57497,PLK_IC_2026_263228739_LEG0,PLK_IC_2026_263228739_LEG1,1
57497,57497,PLK_IC_2026_179515098_LEG0,PLK_IC_2026_179515098_LEG1,1
57497,57497,PLK_KD_2026_136813365_LEG0,PLK_KD_2026_136813365_LEG1,1
57497,57497,PLK_KD_2026_115532513_LEG0,PLK_KD_2026_115532513_LEG1,1
57497,57497,PLK_KD_2026_626577437_LEG0,PLK_KD_2026_626577437_LEG1,1
57497,57497,PLK_KD_2026_424234446_LEG0,PLK_KD_2026_424234446_LEG1,1
57497,57497,PLK_KD_2026_332040110_LEG0,PLK_KD_2026_332040110_LEG1,1
57497,57497,PLK_KD_2026_210058857_LEG0,PLK_KD_2026_210058857_LEG1,1
57497,57497,PLK_KD_2026_393714953_LEG0,PLK_KD_2026_393714953_LEG1,1
57497,57497,PLK_KD_2026_382942873_LEG0,PLK_KD_2026_382942873_LEG1,1
57497,57497,PLK_KD_2026_356124993_LEG0,PLK_KD_2026_356124993_LEG1,1
57497,57497,PLK_KD_2026_237397080_LEG0,PLK_KD_2026_237397080_LEG1,1
57497,57497,PLK_KD_2026_362044310_LEG0,PLK_KD_2026_362044310_LEG1,1
57497,57497,PLK_KD_2026_214527336_LEG0,PLK_KD_2026_214527336_LEG1,1
57497,57497,PLK_KD_2026_206515236_LEG0,PLK_KD_2026_206515236_LEG1,1
57497,57497,PLK_KD_2026_768398153_LEG0,PLK_KD_2026_768398153_LEG1,1
57497,57497,PLK_KD_2026_551545492_LEG0,PLK_KD_2026_551545492_LEG1,1
57497,57497,PLK_KD_2026_784679479_LEG0,PLK_KD_2026_784679479_LEG1,1
57497,57497,PLK_KD_2026_373782122_LEG0,PLK_KD_2026_373782122_LEG1,1
57497,57497,PLK_KD_2026_180612281_LEG0,PLK_KD_2026_180612281_LEG1,1
57497,57497,PLK_KD_2026_296936400_LEG0,PLK_KD_2026_296936400_LEG1,1
57497,57497,PLK_KD_2026_370288640_LEG0,PLK_KD_2026_370288640_LEG1,1
57497,57497,PLK_KD_2026_934576853_LEG0,PLK_KD_2026_934576853_LEG1,1
57497,57497,PLK_KD_2026_145862424_LEG0,PLK_KD_2026_145862424_LEG1,1
57497,57497,PLK_KD_2026_625843521_LEG0,PLK_KD_2026_625843521_LEG1,1
57497,57497,PLK_KD_2026_895599236_LEG0,PLK_KD_2026_895599236_LEG1,1
57497,57497,PLK_KD_2026_195591734_LEG0,PLK_KD_2026_195591734_LEG1,1
57497,57497,PLK_KD_2026_613530815_LEG0,PLK_KD_2026_613530815_LEG1,1
57497,57497,PLK_KD_2026_430036969_LEG0,PLK_KD_2026_430036969_LEG1,1
57497,57497,PLK_KD_2026_608388053_LEG0,PLK_KD_2026_608388053_LEG1,1
57497,57497,PLK_KD_2026_750475508_LEG0,PLK_KD_2026_750475508_LEG1,1
57497,57497,PLK_KD_2026_320045754_LEG0,PLK_KD_2026_320045754_LEG1,1
57497,57497,PLK_KD_2026_649473025_LEG0,PLK_KD_2026_649473025_LEG1,1
57497,57497,PLK_KD_2026_888634428_LEG0,PLK_KD_2026_888634428_LEG1,1
57497,57497,PLK_KD_2026_199455199_LEG0,PLK_KD_2026_199455199_LEG1,1
57497,57497,PLK_KD_2026_559230147_LEG0,PLK_KD_2026_559230147_LEG1,1
57497,57497,PLK_KD_2026_761324533_LEG0,PLK_KD_2026_761324533_LEG1,1
57497,57497,PLK_KD_2026_338779583_LEG0,PLK_KD_2026_338779583_LEG1,1
57497,57497,PLK_KD_2026_811792212_LEG0,PLK_KD_2026_811792212_LEG1,1
57497,57497,PLK_KD_2026_353381352_LEG0,PLK_KD_2026_353381352_LEG1,1
57497,57497,PLK_KD_2026_285667575_LEG0,PLK_KD_2026_285667575_LEG1,1
57497,57497,PLK_KD_2026_622641228_LEG0,PLK_KD_2026_622641228_LEG1,1
57497,57497,PLK_KD_2026_336675826_LEG0,PLK_KD_2026_336675826_LEG1,1
57497,57497,PLK_KD_2026_857228232_LEG0,PLK_KD_2026_857228232_LEG1,1
57497,57497,PLK_KD_2026_929465797_LEG0,PLK_KD_2026_929465797_LEG1,1
57497,57497,PLK_KD_2026_541825635_LEG0,PLK_KD_2026_541825635_LEG1,1
57497,57497,PLK_KD_2026_596182760_LEG0,PLK_KD_2026_596182760_LEG1,1
57497,57497,PLK_KD_2026_639149862_LEG0,PLK_KD_2026_639149862_LEG1,1
57497,57497,PLK_KD_2026_219103858_LEG0,PLK_KD_2026_219103858_LEG1,1
57497,57497,PLK_KD_2026_939611009_LEG0,PLK_KD_2026_939611009_LEG1,1
57497,57497,PLK_KD_2026_100405023_LEG0,PLK_KD_2026_100405023_LEG1,1
57497,57497,PLK_KD_2026_178168666_LEG0,PLK_KD_2026_178168666_LEG1,1
57497,57497,PLK_KD_2026_904650360_LEG0,PLK_KD_2026_904650360_LEG1,1
57497,57497,PLK_KD_2026_232373053_LEG0,PLK_KD_2026_232373053_LEG1,1
57497,57497,PLK_KD_2026_869639434_LEG0,PLK_KD_2026_869639434_LEG1,1
59261,59261,PLK_KD_2026_534820025_LEG0,PLK_KD_2026_534820025_LEG1,1
59261,59261,PLK_KD_2026_169877738_LEG0,PLK_KD_2026_169877738_LEG1,1
59261,59261,PLK_KD_2026_684307232_LEG0,PLK_KD_2026_684307232_LEG1,1
59261,59261,PLK_KD_2026_620570960_LEG0,PLK_KD_2026_620570960_LEG1,1
59261,59261,PLK_KD_2026_887790126_LEG0,PLK_KD_2026_887790126_LEG1,1
59261,59261,PLK_KD_2026_873669644_LEG0,PLK_KD_2026_873669644_LEG1,1
59261,59261,PLK_KD_2026_814623920_LEG0,PLK_KD_2026_814623920_LEG1,1
59261,59261,PLK_KD_2026_728820234_LEG0,PLK_KD_2026_728820234_LEG1,1
59261,59261,PLK_KD_2026_467338639_LEG0,PLK_KD_2026_467338639_LEG1,1
59261,59261,PLK_KD_2026_215371982_LEG0,PLK_KD_2026_215371982_LEG1,1
59261,59261,PLK_KD_2026_791431910_LEG0,PLK_KD_2026_791431910_LEG1,1
59261,59261,PLK_KD_2026_709134378_LEG0,PLK_KD_2026_709134378_LEG1,1
