stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,country,plk_secondary_id
4176,Głowaczewo,54.13067078185,15.4385107215,0,,,,
4192,Stary Borek,54.1379522399,15.48143648354,0,,,,
42002,Nowa Sól,51.79912167571,15.70874382983,0,,,,
42127,Bytom Odrzański,51.72648093427,15.82103212556,0,,,,
4218,Karcino,54.10885113216,15.39721791072,0,,,,
42200,Głogów,51.66967512769,16.07957260999,0,,,,
4226,Bieczyno Pomorskie,54.09586189373,15.3534530391,0,,,,
42432,Krzepów,51.64493922763,16.13341680657,0,,,,
42440,Grębocice,51.59331318454,16.1851474122,0,,,,
42457,Głogów Wróblin,51.6865758013,15.95455879242,0,,,,
42465,Głogów Huta,51.67537658522,15.9923153504,0,,,,
42473,Brzeg Głogowski,51.6909839441,15.9183685723,0,,,,
42481,Czerna,51.70216198721,15.88493439219,0,,,,
42499,Głogówko,51.73524143918,16.09566982234,0,,,,
42606,Leszno,51.84588963258,16.56545428391,0,,,,
42648,Lipno Nowe,51.91927009437,16.57064854931,0,,,,
42655,Górka Duchowna,51.9542482321,16.57692342314,0,,,,
42671,Stare Bojanowo,51.99652520111,16.58508213222,0,,,,
42689,Przysieka Stara,52.03636850708,16.60440346091,0,,,,
42697,Kąkolewo,51.85783975774,16.68673489815,0,,,,
42754,Leszno Grzybowo,51.86025638155,16.61213157539,0,,,,
42770,Pawłowice,51.81995073103,16.75912311905,0,,,,
42788,Poniec,51.76159964619,16.8077827705,0,,,,
42796,Dzięczyn,51.75727644928,16.85428084656,0,,,,
42820,Karzec,51.75474328292,16.90422437302,0,,,,
42838,Krobia,51.75901312669,16.97145781349,0,,,,
42853,Rydzyna,51.77124991374,16.6463987018,0,,,,
42861,Kaczkowo,51.74313969908,16.6802150919,0,,,,
42879,Lasocice,51.81589535332,16.48598373653,0,,,,
42887,Wschowa,51.79397990707,16.31674040741,0,,,,
42937,Stare Drzewce,51.77665826586,16.19567380817,0,,,,
42952,Wilkowice,51.88676648811,16.54124976686,0,,,,
42960,Krzycko Wielkie,51.90422929191,16.45262250793,0,,,,
42978,Włoszakowice,51.93282584394,16.37348760979,0,,,,
43000,Wolsztyn,52.11144382872,16.10821008146,0,,,,
43026,Rostarzewo,52.13496695112,16.20683661839,0,,,,
43034,Tłoki,52.11627941122,16.17225682209,0,,,,
43042,Rakoniewice,52.13848295206,16.26446753472,0,,,,
43059,Drzymałowo,52.15695696249,16.29686708466,0,,,,
43067,Ruchocice,52.17747369036,16.34224769577,0,,,,
43075,Ptaszkowo,52.22923314291,16.44117833862,0,,,,
43091,Grodzisk Wielkopolski,52.23047565056,16.3638970229,0,,,,
43125,Granowo,52.2254894217,16.5307760185,0,,,,
43133,Strykowo Poznańskie,52.24352824822,16.61392749207,0,,,,
43190,Powodowo,52.12329317425,16.05409603439,0,,,,
43265,Wroniawy,52.05999171919,16.1648597963,0,,,,
43273,Nowy Widzim,52.08097670289,16.14236959259,0,,,,
43281,Nowy Solec,52.03071940721,16.19484489815,0,,,,
43299,Nowawieś Mochy,52.01473320632,16.21562344048,0,,,,
43323,Perkowo,52.00366200322,16.26963766865,0,,,,
43331,Błotnica,51.99310873352,16.30052536442,0,,,,
43349,Starkowo,51.97877870443,16.31266650066,0,,,,
43356,Boszkowo,51.96093305548,16.33534390675,0,,,,
43406,Kościan,52.07887930382,16.6419466574,0,,,,
43430,Oborzyska Stare,52.11037815478,16.70109517865,0,,,,
43448,Czempiń,52.13897413456,16.75235817165,0,,,,
44008,Krotoszyn,51.70152870299,17.42615102649,0,,,,
44040,Biadki,51.67709309899,17.56698594841,0,,,,
44057,Gorzupia,51.69185961262,17.50406383395,0,,,,
44073,Łąkociny,51.65683677382,17.66863343954,0,,,,
4408,Koszalin,54.19039460958,16.16960647928,0,,,,
44081,Daniszyn,51.66747157194,17.61421678305,0,,,,
44115,Dzierżanów Wielkopolski,51.71217991474,17.35368927116,0,,,,
